,title,price,rating,reviews,availability,authors,ratings_out_of_5Stars,reviews_count
0,Data Structures and Algorithms Made Easy,₹582.00,4.4 out of 5 stars,"2,366 ratings",In stock,Narasimha Karumanchi,4.4,2366.0
1,The Kimball Group Reader: Relentlessly Practical Tools for Data Warehousing and Business Intelligence Remastered Collection,,4.6 out of 5 stars,64 ratings,Not Available,"Ralph Kimball,Margy Ross",4.6,64.0
2,Fundamentals of Data Engineering: Plan and Build Robust Data Systems (Grayscale Indian Edition),"₹1,750.00",4.7 out of 5 stars,209 ratings,In stock,"Joe Reis,Matt Housley",4.7,209.0
3,Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,"₹2,788.00",4.2 out of 5 stars,103 ratings,In stock,Paul Crickard,4.2,103.0
4,Data Science for Engineers,"₹2,610.00",Previous page,,Only 2 left in stock,"Raghunathan Rengaswamy,Resmi Suresh",,
5,PSG Design Data Handbook - Data Book of Engineers - New Updated 2022 Reprinted Edition [ENGLISH MEDIUM],₹465.00,Previous page,,In stock,Coimbtore PSG College of Technology,,
6,Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,"₹3,126.00",4.4 out of 5 stars,62 ratings,In stock,Gareth Eagar,4.4,62.0
7,Azure Data Engineering Cookbook: Design and implement batch and streaming analytics using Azure Cloud Services,,3.2 out of 5 stars,10 ratings,Not Available,Ahmad Osama,3.2,10.0
8,"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",,3.9 out of 5 stars,50 ratings,Not Available,"Manoj Kukreja,Danil Zburivsky",3.9,50.0
9,Data Science & Analytics,₹280.00,3.8 out of 5 stars,13 ratings,In stock,VK Jain,3.8,13.0
10,Data Structure and Algorithmic Thinking with Python,₹582.00,4.3 out of 5 stars,713 ratings,In stock,Narasimha Karumanchi,4.3,713.0
11,Data Structures and Algorithms Made Easy in Java,₹582.00,4.3 out of 5 stars,"1,103 ratings",In stock,Narasimha Karumanchi,4.3,1103.0
12,Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,,3.9 out of 5 stars,20 ratings,Not Available,Newton Alex,3.9,20.0
13,Fundamentals of Data Engineering: Designing and Building Scalable Data Systems for Modern Applications,,4.9 out of 5 stars,29 ratings,Not Available,Brian  Murray,4.9,29.0
14,Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,"₹3,464.00",4.8 out of 5 stars,10 ratings,In stock,Adi Wijaya,4.8,10.0
15,Design Data Handbook For Mechanical Engineers In Si And Metric Units 4Ed (Pb 2019),₹383.00,4.4 out of 5 stars,924 ratings,In stock,Mahadevan,4.4,924.0
16,An Engineering Data Book,"₹3,702.00",4.2 out of 5 stars,13 ratings,In stock,"Dr J.R. Calvert,Professor R.A. Farrar",4.2,13.0
17,Applied Data Science For Mumbai University B.E. Computer Engineering Sem 8,₹252.00,5.0 out of 5 stars,1 rating,In stock,"Dr. Harshali Patil,Mr. Loukik S. Salvi,Purva Raut",5.0,1.0
18,Design Data: Data Book of Engineers by PSG College-Kalaikathir Achchagam - Coimbatore,₹462.00,4.2 out of 5 stars,578 ratings,In stock,Coimbtore PSG,4.2,578.0
19,Simplifying Data Engineering and Analytics with Delta: Create analytics-ready data that fuels artificial intelligence and business intelligence,"₹2,957.00",4.3 out of 5 stars,7 ratings,In stock,"Anindita Mahapatra,Doug May",4.3,7.0
20,"The Data WarehouseETL Toolkit: Practical Techniques for Extracting, Cleaning, Conforming, and Delivering Data",,4.5 out of 5 stars,162 ratings,Not Available,"Ralph Kimball,Joe Caserta",4.5,162.0
21,Introducing Data Science,₹690.00,4.4 out of 5 stars,97 ratings,Only 1 left in stock,"Davy Cielen,Arno D.B. Meysman,Mohamed Ali",4.4,97.0
